iter	MultiClass
0	1.08313938
1	1.065070601
2	1.048530016
3	1.030880596
4	1.014687018
5	1.001056705
6	0.9868277543
7	0.9736942383
8	0.9604813386
9	0.9482681403
10	0.9362114712
11	0.9265300225
12	0.9144857249
13	0.9033456689
14	0.8931620417
15	0.8842784719
16	0.8740033352
17	0.8653623673
18	0.8560947411
19	0.8467987783
20	0.8387685051
21	0.8291044075
22	0.8210672911
23	0.8121419666
24	0.8040910519
25	0.7970022609
26	0.7886372494
27	0.7814382535
28	0.7744210593
29	0.7672865262
30	0.7606328775
31	0.7547996512
32	0.7485090754
33	0.741769723
34	0.7350888987
35	0.7281073995
36	0.7218908752
37	0.7162386872
38	0.7096979733
39	0.705019598
40	0.698389777
41	0.6927794844
42	0.6868808126
43	0.6810663586
44	0.6762697715
45	0.6714630937
46	0.6663821946
47	0.6616692949
48	0.6571809659
49	0.6528568061
50	0.648396838
51	0.6435817447
52	0.6394942529
53	0.6358904712
54	0.6322209916
55	0.6273856807
56	0.6240242838
57	0.6214337217
58	0.6173782118
59	0.6144676762
60	0.611557062
61	0.6083274491
62	0.6047975074
63	0.6013421701
64	0.5978226694
65	0.5943401987
66	0.5912323521
67	0.5876598091
68	0.584433088
69	0.5814804748
70	0.5783102128
71	0.575184635
72	0.5724690441
73	0.5699282314
74	0.5675749697
75	0.5650621335
76	0.5624729013
77	0.5598665469
78	0.5573336283
79	0.5545775651
80	0.5520924074
81	0.549479858
82	0.5474414051
83	0.5451911321
84	0.5426080652
85	0.5410006998
86	0.5387890958
87	0.5370629811
88	0.5350945331
89	0.5331969271
90	0.5311444718
91	0.5292729976
92	0.5273814826
93	0.5252058866
94	0.5232512407
95	0.5213890652
96	0.5197296486
97	0.5178153165
98	0.5159201728
99	0.5142926766
100	0.5128609935
101	0.5111912698
102	0.5095943373
103	0.5080062595
104	0.5065241617
105	0.5053639394
106	0.5040377028
107	0.5025409537
108	0.5009860756
109	0.4998616969
110	0.4986706795
111	0.4974726043
112	0.4963783093
113	0.4947467989
114	0.4941171378
115	0.4928960323
116	0.4915021313
117	0.4899288318
118	0.4888596795
119	0.4880268536
120	0.4874358772
121	0.4863561671
122	0.4852382983
123	0.4840527753
124	0.483003136
125	0.4817727067
126	0.4802484588
127	0.4789397243
128	0.4779976665
129	0.4773150005
130	0.4769370798
131	0.4760830489
132	0.4751486466
133	0.4739919222
134	0.4726902027
135	0.4719107057
136	0.4718015572
137	0.4707958177
138	0.4697055286
139	0.4691390113
140	0.4684398428
141	0.4676207377
142	0.4665774748
143	0.4657890284
144	0.4651490932
145	0.4643260612
146	0.4636751134
147	0.4626278285
148	0.4615546557
149	0.4611431541
150	0.4605034271
151	0.4594568498
152	0.4593986325
153	0.4585471936
154	0.4578549006
155	0.4567829148
156	0.4560382606
157	0.4552926946
158	0.4546418791
159	0.4539484854
160	0.4533104375
161	0.4528477416
162	0.4520886098
163	0.4517495241
164	0.4511865479
165	0.4508910483
166	0.4501328709
167	0.4492320444
168	0.4484168288
169	0.4476090117
170	0.4467222085
171	0.446088463
172	0.4454352174
173	0.4447095238
174	0.4439767875
175	0.4437959779
176	0.4435937971
177	0.4429546254
178	0.4426366782
179	0.44249161
180	0.4421204261
181	0.4413407793
182	0.4408835647
183	0.4404750451
184	0.4398302594
185	0.4393262193
186	0.4387652618
187	0.438331619
188	0.437962694
189	0.4371863229
190	0.4366091959
191	0.4363356352
192	0.4356768595
193	0.4352000832
194	0.4345514186
195	0.4341457064
196	0.433432114
197	0.4332320121
198	0.4326844241
199	0.4324541416
200	0.4319735923
201	0.4314789594
202	0.4308122109
203	0.430373024
204	0.4300351823
205	0.4293437292
206	0.4288198665
207	0.4282366352
208	0.4281875899
209	0.4279670666
210	0.4274625449
211	0.426750936
212	0.4266178163
213	0.4260754444
214	0.4253954589
215	0.4250245099
216	0.4248248865
217	0.4244978469
218	0.4239390237
219	0.4237045604
220	0.4232086371
221	0.4226398461
222	0.4221462531
223	0.4218054178
224	0.4214619438
225	0.4212467502
226	0.4209130367
227	0.4206823686
228	0.4205588006
229	0.4205571252
230	0.420227058
231	0.4198749814
232	0.419371448
233	0.4189435986
234	0.4186443545
235	0.4183330056
236	0.4179607099
237	0.4177056427
238	0.4171708301
239	0.4168855576
240	0.4165430167
241	0.4159358595
242	0.4157261055
243	0.4154430472
244	0.4151227079
245	0.4148285927
246	0.4146456983
247	0.4141755655
248	0.4137811071
249	0.4136015446
250	0.413195766
251	0.4130207516
252	0.4127472163
253	0.4122709627
254	0.411938516
255	0.4115593934
256	0.411077804
257	0.4108510074
258	0.4108477054
259	0.4107661451
260	0.4106885088
261	0.4103472842
262	0.4103461357
