iter	Passed	Remaining
0	484	1452985
1	768	1152673
2	1119	1118364
3	1420	1064015
4	1717	1028607
5	2036	1016367
6	2313	989383
7	2643	988751
8	2950	980518
9	3547	1060573
10	3851	1046633
11	4170	1038349
12	4538	1042859
13	4822	1028523
14	5190	1032958
15	5449	1016332
16	5751	1009152
17	6080	1007407
18	6410	1005704
19	6740	1004289
20	7063	1002060
21	7388	1000155
22	7604	984228
23	7930	983369
24	8240	980650
25	8579	981355
26	8894	979347
27	9200	976599
28	9529	976266
29	9829	973078
30	10143	971483
31	10476	971657
32	10762	967675
33	11085	967005
34	11411	966686
35	11700	963323
36	12075	967021
37	12391	965880
38	12710	965034
39	13083	968147
40	13432	969413
41	13752	968575
42	14114	970591
43	14460	971464
44	14773	970147
45	15102	969819
46	15479	972559
47	15817	972780
48	16146	972389
49	16500	973539
50	16856	974674
51	17187	974400
52	17535	975048
53	17870	974958
54	18180	973503
55	18515	973363
56	18841	972819
57	19164	972088
58	19539	973972
59	19878	974049
60	20210	973725
61	20578	975158
62	20928	975666
63	21244	974580
64	21627	976573
65	21956	976055
66	22565	987820
67	22897	987278
68	23233	986923
69	23604	988016
70	23975	989089
71	24319	989005
72	24595	986159
73	24952	986642
74	25313	987239
75	25957	998674
76	26311	998810
77	26633	997743
78	26993	998082
79	27296	996319
80	27633	995813
81	27987	995931
82	28319	995264
83	28667	995178
84	28994	994347
85	29299	992782
86	29632	992167
87	30001	992789
88	30310	991388
89	30626	990268
90	30947	989289
91	31256	987982
92	31630	988692
93	31954	987870
94	32275	986945
95	32624	986890
96	32985	987182
97	33312	986458
98	33631	985504
99	33992	985770
100	34323	985187
101	34667	984968
102	35060	986112
103	35445	987016
104	35745	985554
105	36023	983513
106	36313	981823
107	36645	981293
108	37003	981449
109	37165	976432
110	37509	976258
111	37825	975367
112	38150	974689
113	38489	974394
114	38804	973489
115	39152	973400
116	39510	973569
117	39830	972799
118	40185	972887
119	40780	978721
120	41102	977974
121	41464	978165
122	41767	976943
123	42096	976375
124	42447	976291
125	42756	975263
126	43087	974727
127	43429	974451
128	43755	973819
129	44098	973553
130	44295	970101
131	44659	970337
132	45175	973823
133	45888	981457
134	46477	986359
135	47027	990346
136	47294	988343
137	48038	996286
138	48824	1004932
139	50141	1024315
140	50946	1033025
141	51506	1036658
142	51908	1037082
143	52222	1035746
144	52554	1034777
145	52941	1034896
146	53365	1035721
147	53806	1036872
148	54189	1036866
149	54596	1037338
150	55069	1039020
151	55430	1038593
152	55521	1033139
153	55863	1032380
154	56198	1031511
155	56575	1031417
156	56921	1030756
157	57247	1029733
158	57580	1028850
159	57953	1028670
160	58285	1027782
161	58623	1026997
162	59080	1028294
163	59558	1029931
164	59922	1029574
165	60112	1026264
166	60435	1025237
167	60789	1024735
168	61126	1023964
169	61484	1023532
170	61828	1022879
171	62137	1021658
172	62501	1021342
173	62856	1020881
174	63182	1019948
175	63546	1019624
176	63672	1015526
177	64005	1014738
178	64358	1014271
179	64456	1009825
180	64714	1007897
181	65106	1008071
182	65647	1010536
183	66081	1011339
184	66448	1011100
185	66747	1009821
186	67086	1009169
187	67428	1008553
188	67781	1008120
189	68154	1007963
190	68497	1007372
191	68630	1003716
192	68964	1003017
193	69316	1002593
194	69628	1001580
195	69985	1001223
196	70347	1000931
197	70526	998056
198	70837	997061
199	70969	993570
200	71282	992637
201	71615	991975
202	72078	993121
203	72519	993944
204	72969	994876
205	73427	995910
206	73844	996362
207	74331	997752
208	74465	994415
209	74895	995038
210	75333	995755
211	75822	997130
212	76182	996804
213	76608	997345
214	77042	997967
215	77497	998862
216	77655	995925
217	78033	995820
218	78489	996710
219	78928	997367
220	79374	998110
221	79790	998454
222	80146	998057
223	80453	997045
224	80838	997010
225	80978	993955
226	81245	992481
227	81536	991314
228	81890	990915
229	81937	986809
230	82271	986188
231	82592	985413
232	82971	985336
233	83376	985547
234	83701	984829
235	84050	984382
236	84587	986136
237	84998	986406
238	85389	986450
239	85805	986768
240	86111	985811
241	86519	986041
242	86910	986057
243	87225	985216
244	87584	984882
245	87921	984289
246	88269	983831
247	88664	983892
248	89018	983497
249	89378	983162
250	89717	982603
251	90058	982066
252	90397	981509
253	90735	980947
254	91066	980305
255	91430	980025
256	91774	979528
257	92081	978632
258	92175	975496
259	92254	972218
260	92486	970573
261	92849	970312
262	92971	967537
